0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
REC#0																															
0.362	0.992	0	0	0.003	0.003	0	0	0.029	0.029	0	0	0.003	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.075	0.075	0	0	0.003	0.003	0	0	0.075	0.075	0	0	0.003	0.003	0	0	0.207	0.207	0	0	0.003	0.003	0	0	0.382	0.993	0	0	0.003	0.003	0	0
0	0	0	0	0.072	0.072	0	0	0	0	0	0	0.072	0.072	0	0	0	0	0	0	0.208	0.208	0	0	0	0	0	0	0.382	0.986	0	0
0	0	0	0	0.103	0	0.968	0	0	0	0	0	0.034	0	0.034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.102	0	0.977	0	0.003	0	0.003	0	0.028	0	0.028	0	0.003	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.19	0.19	0	0	0	0	0	0	0.358	0.979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.973	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.376	0.995	0	0	0.003	0.003	0	0	0.038	0.038	0	0	0.003	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.086	0.086	0	0	0.004	0.004	0	0	0.086	0.086	0	0	0.004	0.004	0	0	0.216	0.216	0	0	0.004	0.004	0	0	0.351	0.967	0	0	0.004	0.004	0	0
0	0	0	0	0.067	0.067	0	0	0	0	0	0	0.067	0.067	0	0	0	0	0	0	0.178	0.178	0	0	0	0	0	0	0.386	0.972	0	0
0	0	0	0	0.104	0	0.963	0	0	0	0	0	0.026	0	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.086	0	0.927	0	0.003	0	0.003	0	0.027	0	0.027	0	0.003	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.182	0.182	0	0	0	0	0	0	0.376	0.984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.976	0	0	0	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.307	0.903	0	0	0.004	0.004	0	0	0.031	0.031	0	0	0.004	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.118	0.118	0	0	0.005	0.005	0	0	0.118	0.118	0	0	0.005	0.005	0	0	0.15	0.15	0	0	0.005	0.005	0	0	0.44	0.711	0	0	0.005	0.005	0	0
0	0	0	0	0.057	0.057	0	0	0	0	0	0	0.057	0.057	0	0	0	0	0	0	0.205	0.205	0	0	0	0	0	0	0.417	0.862	0	0
0	0	0	0	0.1	0	0.955	0	0	0	0	0	0.018	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.07	0	0.57	0	0.002	0	0.002	0	0.037	0	0.037	0	0.002	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
