  0.99   0.84   0.94   0.91   0.75   0.71   0.71   0.98   0.81 N/A   0.84   0.87   0.90 N/A   0.95   0.98 N/A N/A N/A   0.70   0.82   0.93   0.91   0.83 N/A N/A   0.76 N/A N/A N/A N/A   0.90 N/A   0.78   0.92   0.95 N/A   0.86   0.97   0.87   0.71   0.72   0.91   0.91   0.86   0.86 N/A N/A   0.92 N/A   0.88   0.96 N/A   0.91   0.89 N/A N/A 
  0.87   1.00   0.97   0.84 N/A   0.82   0.79   0.85   0.96 N/A   0.95   0.76   0.97 N/A   0.93 N/A   0.77 N/A N/A   0.86   0.98   0.91   0.92   0.74 N/A N/A   0.91 N/A N/A N/A   0.70   0.77 N/A   0.89 N/A   0.92   0.75   0.94   0.92   0.73 N/A N/A   0.90   0.82   0.93   0.71 N/A N/A   0.85 N/A N/A   0.95 N/A   0.93 N/A N/A N/A 
  0.96   0.94   0.99   0.98 N/A N/A N/A   0.96   0.93 N/A   0.94   0.89   0.98 N/A   0.94   0.94 N/A N/A N/A   0.85   0.93   0.97   0.96   0.81 N/A N/A   0.75 N/A N/A N/A N/A   0.95 N/A   0.86   0.75   0.92 N/A   0.95   0.99   0.91   0.84   0.80   0.82   0.91   0.94   0.90 N/A N/A   0.96 N/A N/A   0.97 N/A   0.97 N/A N/A N/A 
  0.81   0.88   0.91   0.99 N/A   0.75 N/A   0.92   0.93 N/A   0.91 N/A   0.89 N/A   0.86   0.89   0.71 N/A   0.71   0.75   0.88   0.93   0.93   0.77 N/A N/A   0.79 N/A N/A N/A   0.72   0.87 N/A   0.83 N/A   0.83 N/A   0.83   0.86   0.75 N/A   0.72   0.89   0.87   0.77   0.73 N/A N/A   0.98 N/A N/A   0.84 N/A   0.86 N/A N/A N/A 
N/A N/A N/A N/A   0.98 N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A 
N/A N/A N/A N/A N/A   0.99   0.90 N/A N/A N/A N/A N/A N/A N/A   0.82 N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A   0.72   0.82 N/A N/A N/A   0.71 N/A N/A N/A N/A   0.76 N/A N/A N/A N/A N/A N/A   0.74 N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A 
N/A N/A N/A N/A N/A   0.83   1.00 N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A   0.79 N/A N/A N/A   0.79 N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A 
  0.95   0.79   0.88   0.83 N/A N/A N/A   0.99   0.77 N/A   0.78   0.79   0.83 N/A   0.87   0.93 N/A N/A N/A   0.72   0.78   0.88   0.86   0.86 N/A N/A   0.72 N/A N/A N/A N/A   0.84 N/A   0.72   0.89   0.90 N/A   0.82   0.89   0.87   0.75   0.76   0.81   0.87   0.82   0.89 N/A N/A   0.86 N/A   0.82   0.93 N/A   0.93   0.82   0.70 N/A 
  0.81   0.96   0.97   0.91 N/A   0.82   0.75   0.80   0.98 N/A   0.98 N/A   0.95 N/A   0.89   0.74   0.81 N/A   0.76   0.82   0.96   0.91   0.92   0.82 N/A N/A   0.86 N/A N/A N/A   0.74   0.83 N/A   0.89 N/A   0.90   0.77   0.92   0.95   0.70 N/A   0.75   0.89   0.82   0.85 N/A N/A N/A   0.90 N/A N/A   0.94 N/A   0.95 N/A N/A N/A 
  0.76 N/A N/A   0.70 N/A N/A N/A N/A N/A   0.99 N/A   0.72 N/A   0.92 N/A   0.71 N/A   0.79 N/A   0.78 N/A N/A N/A N/A   0.73 N/A N/A   0.90 N/A N/A N/A   0.88   0.91   0.73   0.84   0.87 N/A N/A   0.76   0.88   0.76 N/A   0.93   0.87   0.70   0.88 N/A N/A N/A N/A   0.79 N/A   0.88 N/A   0.89   0.74   0.86 
